timestamp_Beijing,sway_speed_dps,temperature_C,humidity_RH,pressure_hPa,lux,wire_foreign_object
2025-09-08 12:00,21.38,28.29,53.23,1011.76,10000.00,0
2025-09-08 12:30,20.34,28.37,50.27,1009.43,9814.76,0
2025-09-08 13:00,15.42,28.68,58.50,1013.08,9422.67,0
2025-09-08 13:30,24.30,26.68,51.20,1012.63,8892.44,0
2025-09-08 14:00,26.62,27.95,55.96,1011.27,7953.41,0
2025-09-08 14:30,13.52,26.73,58.24,1012.74,6918.20,1
2025-09-08 15:00,10.44,25.39,65.94,1013.75,5913.11,0
2025-09-08 15:30,10.65,24.35,63.57,1011.04,4678.63,0
2025-09-08 16:00,11.21,24.12,61.52,1010.32,3464.08,0
2025-09-08 16:30,10.32,22.55,59.69,1009.37,2221.91,0
2025-09-08 17:00,25.81,21.95,70.58,1009.01,1279.99,1
2025-09-08 17:30,19.33,20.51,61.14,1012.41,282.36,0
2025-09-08 18:00,29.21,20.22,64.11,1013.37,0.00,0
2025-09-08 18:30,22.39,19.20,68.15,1010.65,0.00,1
2025-09-08 19:00,19.39,18.34,64.72,1011.10,0.00,0
2025-09-08 19:30,22.71,17.51,67.92,1009.97,1.15,0
2025-09-08 20:00,30.22,16.52,79.79,1012.38,1.46,0
2025-09-08 20:30,24.15,15.05,72.80,1011.63,0.00,0
2025-09-08 21:00,33.65,14.73,70.02,1012.78,1.76,0
2025-09-08 21:30,33.36,13.61,72.38,1010.81,2.05,0
2025-09-08 22:00,21.58,13.33,72.80,1011.14,0.00,0
2025-09-08 22:30,20.51,13.99,69.43,1014.57,0.60,0
2025-09-08 23:00,25.76,11.96,75.59,1014.29,1.18,0
2025-09-08 23:30,23.02,12.39,77.78,1009.34,0.00,0
2025-09-09 00:00,23.33,12.77,73.00,1015.42,2.02,0
2025-09-09 00:30,20.12,11.51,70.67,1013.16,0.00,0
2025-09-09 01:00,27.96,12.68,71.20,1014.09,0.66,0
2025-09-09 01:30,15.14,12.62,72.96,1010.31,0.00,0
2025-09-09 02:00,24.65,13.05,75.96,1012.78,3.86,0
2025-09-09 02:30,10.49,13.88,73.11,1013.23,1.08,0
2025-09-09 03:00,12.53,14.47,66.45,1016.15,0.00,0
2025-09-09 03:30,16.86,14.09,70.55,1014.85,1.17,0
2025-09-09 04:00,10.35,16.30,68.40,1018.31,0.00,0
2025-09-09 04:30,19.98,18.29,70.41,1016.53,0.05,0
2025-09-09 05:00,24.60,17.59,66.36,1017.31,0.00,0
2025-09-09 05:30,24.64,18.10,67.40,1016.25,0.67,0
2025-09-09 06:00,17.71,20.88,67.18,1015.78,0.00,0
2025-09-09 06:30,21.88,21.63,58.05,1012.39,603.69,0
2025-09-09 07:00,24.77,22.54,59.93,1013.53,1318.07,0
2025-09-09 07:30,32.10,22.90,54.60,1015.55,2320.58,0
2025-09-09 08:00,29.15,24.48,53.25,1017.20,3498.83,0
2025-09-09 08:30,21.24,25.94,62.41,1012.11,4807.62,0
2025-09-09 09:00,30.56,26.06,53.05,1015.21,5974.40,0
2025-09-09 09:30,20.09,26.54,59.70,1013.47,7091.49,0
2025-09-09 10:00,27.71,26.42,47.02,1012.86,8091.05,0
2025-09-09 10:30,23.74,27.20,59.25,1012.66,8845.32,0
2025-09-09 11:00,30.24,28.06,59.34,1014.24,9412.75,0
2025-09-09 11:30,26.26,28.73,56.84,1012.77,9916.14,0
2025-09-09 12:00,26.93,28.25,60.99,1012.20,10000.00,0
2025-09-09 12:30,28.50,28.51,61.89,1014.27,9882.72,0
2025-09-09 13:00,28.00,28.42,52.82,1013.46,9400.06,0
2025-09-09 13:30,27.87,27.45,49.49,1011.45,9079.27,0
2025-09-09 14:00,25.43,27.44,68.66,1012.56,8002.28,0
2025-09-09 14:30,24.69,26.32,59.68,1012.85,7131.63,0
2025-09-09 15:00,16.25,25.36,64.84,1011.61,5866.36,0
2025-09-09 15:30,16.83,24.40,58.66,1011.76,4745.41,1
2025-09-09 16:00,9.51,23.46,58.20,1010.04,3527.21,0
2025-09-09 16:30,15.30,23.95,56.78,1011.75,2231.03,0
2025-09-09 17:00,15.43,22.56,58.93,1013.32,1137.03,0
2025-09-09 17:30,23.93,21.31,60.11,1011.39,670.72,0
2025-09-09 18:00,18.92,20.29,66.53,1013.10,72.15,0
2025-09-09 18:30,23.38,18.39,65.71,1008.94,0.85,0
2025-09-09 19:00,30.21,18.04,70.90,1011.13,0.00,1
2025-09-09 19:30,28.94,16.35,75.96,1011.16,0.00,0
2025-09-09 20:00,21.43,15.76,72.27,1007.32,0.09,0
2025-09-09 20:30,111.76,14.87,78.95,1013.57,0.27,0
2025-09-09 21:00,23.90,14.46,63.03,1010.96,2.26,0
2025-09-09 21:30,27.41,14.67,62.21,1010.70,3.31,0
2025-09-09 22:00,26.27,12.98,59.67,1011.58,0.00,0
2025-09-09 22:30,27.18,12.60,70.47,1014.26,0.00,0
2025-09-09 23:00,19.66,12.38,77.07,1015.20,0.08,0
2025-09-09 23:30,25.52,11.26,67.59,1013.78,0.00,0
2025-09-10 00:00,27.77,11.90,74.83,1015.78,0.44,0
2025-09-10 00:30,30.93,12.32,82.21,1015.07,0.68,0
2025-09-10 01:00,18.41,12.72,69.90,1013.72,0.00,0
2025-09-10 01:30,28.11,13.45,79.57,1014.58,3.31,0
2025-09-10 02:00,19.67,12.35,66.03,1015.47,1.24,0
2025-09-10 02:30,10.66,14.85,69.04,1015.76,0.77,0
2025-09-10 03:00,16.63,14.57,65.85,1014.35,2.39,0
2025-09-10 03:30,7.66,15.57,67.26,1014.31,0.00,0
2025-09-10 04:00,15.04,15.82,64.42,1014.63,0.00,0
2025-09-10 04:30,18.66,16.65,78.50,1014.40,4.25,0
2025-09-10 05:00,12.64,18.07,66.57,1012.70,0.00,0
2025-09-10 05:30,15.17,19.50,57.92,1015.28,0.00,0
2025-09-10 06:00,20.84,20.32,69.28,1016.02,0.00,0
2025-09-10 06:30,19.27,21.31,71.82,1015.64,447.19,1
2025-09-10 07:00,19.51,22.38,59.02,1015.26,1265.16,0
2025-09-10 07:30,19.58,23.61,66.36,1014.87,2304.38,0
2025-09-10 08:00,24.28,24.81,51.87,1015.10,3668.54,0
2025-09-10 08:30,20.81,25.24,58.61,1013.74,4685.49,0
2025-09-10 09:00,24.93,25.61,59.52,1015.72,5961.71,0
2025-09-10 09:30,30.61,26.39,59.64,1012.67,7019.15,0
2025-09-10 10:00,32.81,27.14,54.41,1015.16,8088.78,0
2025-09-10 10:30,33.49,27.16,64.95,1016.34,8869.41,0
2025-09-10 11:00,29.68,27.56,50.39,1013.00,9494.23,0
2025-09-10 11:30,26.51,28.91,58.48,1014.47,9667.61,0
2025-09-10 12:00,31.01,27.31,49.60,1013.52,10000.00,0
2025-09-10 12:30,29.58,28.24,53.40,1013.26,10000.00,0
2025-09-10 13:00,21.04,27.63,52.53,1012.28,9532.29,0
2025-09-10 13:30,15.42,26.76,59.64,1010.91,8856.59,0
2025-09-10 14:00,16.57,26.63,53.72,1013.19,8134.98,0
2025-09-10 14:30,13.75,26.31,59.24,1010.07,7034.05,0
2025-09-10 15:00,18.16,24.76,53.74,1009.09,5952.35,0
2025-09-10 15:30,19.72,24.38,69.97,1009.50,4824.22,0
2025-09-10 16:00,12.61,24.63,58.24,1012.60,3464.52,0
2025-09-10 16:30,10.83,22.38,62.49,1013.34,2360.27,0
2025-09-10 17:00,69.86,22.70,66.69,1012.14,1404.44,0
2025-09-10 17:30,15.05,20.55,70.14,1011.18,372.75,0
2025-09-10 18:00,23.49,20.35,61.71,1011.09,82.57,0
2025-09-10 18:30,27.30,19.76,63.29,1010.96,0.07,0
